Variable,Package,Unit,Units
income_hh,PractTools,PSU,141
income_hh,PractTools,SSU,7127
active,PractTools,PSU,49
active,PractTools,SSU,2459
inactive,PractTools,PSU,90
inactive,PractTools,SSU,4395
unemployed,PractTools,PSU,406
unemployed,PractTools,SSU,19956
income_hh,R2BEAT,PSU,79
income_hh,R2BEAT,SSU,5140
active,R2BEAT,PSU,37
active,R2BEAT,SSU,2030
inactive,R2BEAT,PSU,68
inactive,R2BEAT,SSU,4338
unemployed,R2BEAT,PSU,149
unemployed,R2BEAT,SSU,10198
income_hh,samplesize4surveys,PSU,142
income_hh,samplesize4surveys,SSU,7061
active,samplesize4surveys,PSU,49
active,samplesize4surveys,SSU,2436
inactive,samplesize4surveys,PSU,88
inactive,samplesize4surveys,SSU,4391
unemployed,samplesize4surveys,PSU,402
unemployed,samplesize4surveys,SSU,20058
